t,ytt,x,xt,xtt,xtt_ytt,f,
54.3,0,0.18347020310026335,5.588653910775012,-11.18084528036354,-11.18084528036354,0.4596928115485765,
54.32,0,0.29308703749059056,5.358889628895691,-12.966504044108257,-12.966504044108257,0.5545435158553871,
54.34,0,0.3972757121477848,5.046656130401986,-14.628358571835427,-14.628358571835427,0.6446972703128325,
54.36,0,0.4944400617544955,4.6574784721864795,-16.141228932206698,-16.141228932206698,0.7287729238834573,
54.38,0,0.5831062717674719,4.198049102068233,-17.48246506603587,-17.48246506603587,0.8054951948258894,
54.4,0,0.6619451149152845,3.6761139429646734,-18.632283644943513,-18.632283644943513,0.8737139117857003,
54.42,0,0.7297917490143196,3.100342781283005,-19.574057359661133,-19.574057359661133,0.9324211447114836,
54.44,0,0.7856627833718443,2.4801861137954555,-20.29455245021488,-20.29455245021488,0.9807659722978279,
54.46,0,0.8287703661578106,1.8257208038356851,-20.784111134862037,-20.784111134862037,1.018066671692718,
54.48,0,0.8585330937914806,1.1474870558154902,-21.03677648547725,-21.03677648547725,1.0438201583158866,
54.5,0,0.8745835948136376,0.45631933461506746,-21.050358219746325,-21.050358219746325,1.057708548132069,
54.52,0,0.8767726940714511,-0.2368260681952981,-20.826438820288956,-20.826438820288956,1.059602760891961,
54.54,0,0.865170117478141,-0.921044086957326,-20.110443340108134,-20.110443340108134,1.0363976077053407,
54.56,0,0.8400617522601223,-1.5856518298222393,-18.868653596368066,-18.868653596368066,0.9861808772693033,
54.58,0,0.8019435316100394,-2.220354751940625,-17.124529198728364,-17.124529198728364,0.9099444359691375,
54.6,0,0.7515120651813684,-2.815405479014086,-14.909245867534688,-14.909245867534688,0.8090815031117955,
54.62,0,0.6896521870751392,-3.361752841091948,-12.261147663620887,-12.261147663620887,0.6853617468993372,
54.64,0,0.6174216401101689,-3.8511788486348477,-9.22509070877393,-9.22509070877393,0.5409006529693965,
54.66,0,0.5360331585174369,-4.276421549345454,-5.851689522926087,-5.851689522926087,0.3781236897839326,
54.68,0,0.4468342501042961,-4.6312819415828645,-2.196478550582916,-2.196478550582916,0.19972587295765099,
54.7,0,0.3512850128172158,-4.910713384371217,1.6809973129557867,1.6809973129557867,0.008627398383490359,
54.72,0,0.25093434899809186,-5.1108922307319595,3.6233479613798867,3.6233479613798867,-0.08595010064181625,
54.74,0,0.14739496307458075,-5.229268715639275,5.49709944368152,5.49709944368152,-0.17861463533474836,
54.76,0,0.04231754464126376,-5.264597447399853,7.366713510385389,7.366713510385389,-0.27265566135600505,
54.78,0,-0.06263545133227683,-5.2169471766062845,9.202847185570837,9.202847185570837,-0.3665853331400534,
54.8,0,-0.16581601219347317,-5.087689844837051,10.976903922411012,10.976903922411012,-0.4589287305465415,
54.82,0,-0.26561635153304447,-4.879469240801741,12.661477285113447,12.661477285113447,-0.5482469346735194,
54.84,0,-0.36049386742981543,-4.596149909562009,14.230772599974493,14.230772599974493,-0.6331593647114028,
54.86,0,-0.44899488908986984,-4.242747265858898,15.661000116348795,15.661000116348795,-0.7123650304474967,
54.88,0,-0.5297768478905773,-3.825340150741248,16.930733714469035,16.930733714469035,-0.7846623746618144,
54.9,0,-0.601628536328764,-3.350967337220242,18.021229783146214,18.021229783146214,-0.8489674042564918,
54.92,0,-0.6634881509414092,-2.827509731546422,18.916701556552226,18.916701556552226,-0.9043298381094362,
54.94,0,-0.7144588523668826,-2.2635602283263028,19.604544934466958,19.604544934466958,-0.9499470328458727,
54.96,0,-0.7538216167279631,-1.6682833569607505,20.07551260249239,20.07551260249239,-0.9851754844270095,
54.98,0,-0.7810451967709553,-1.0512670012232057,20.32383410492317,20.32383410492317,-1.009539743060176,
55,0,-0.7957930579685045,-0.42236858119722476,20.34728038974867,20.34728038974867,-1.0227386207954217,
55.02,0,-0.7979272033334384,0.20844184415021755,20.147172228796926,20.147172228796926,-1.0246486146151141,
55.04,0,-0.7875088502212149,0.8312390655677123,19.50108311282515,19.50108311282515,-1.0038119083906671,
