t,ytt,x,xt,h,f,xtt,xtt+ytt,K
4.56,6,0.427646808,-4.082106011,0.03,0.855293616,-21.52179911,-15.52179911,2
4.58,4.2,0.342235309,-4.459043906,0.03,0.684470618,-16.1719904,-11.9719904,2
4.6,-2,0.250815155,-4.682971459,0.03,0.50163031,-6.220764872,-8.220764872,2
4.62,-5.4,0.156631836,-4.735360487,0.03,0.313263671,0.981862073,-4.418137927,2
4.64,-7.6,0.062713747,-4.656448369,0.03,0.125427494,6.909349714,-0.690650286,2
4.66,-9.9,-0.028446439,-4.459570267,0.03,-0.056892878,12.77846045,2.878460448,2
4.68,-12.5,-0.114489889,-4.144774679,0.03,-0.228979777,18.70109839,6.201098386,2
4.7,-12.8,-0.193315838,-3.737820227,0.03,-0.386631676,21.99434682,9.194346818,2
4.72,-9.8,-0.263710807,-3.301676655,0.03,-0.527421613,21.62001035,11.82001035,2
4.74,-8,-0.325373346,-2.864577275,0.03,-0.650746692,22.08992763,14.08992763,2
4.76,-6.4,-0.378214775,-2.419565589,0.03,-0.756429549,22.41124102,16.01124102,2
4.78,-1,-0.422505761,-2.009533045,0.03,-0.845011522,18.59201337,17.59201337,2
4.8,3.2,-0.459268344,-1.666725277,0.03,-0.918536688,15.68876341,18.88876341,2
4.82,4.7,-0.489508637,-1.357303973,0.03,-0.979017273,15.25336698,19.95336698,2
4.84,4.7,-0.513520911,-1.043923458,0.03,-1.027041822,16.08468456,20.78468456,2
4.86,4.2,-0.531074957,-0.711481124,0.03,-1.062149913,17.15954886,21.35954886,2
4.88,1,-0.541523951,-0.333418325,0.03,-1.083047902,20.64673097,21.64673097,2
4.9,-7.5,-0.543220526,0.163760815,0.03,-1.086441053,29.07118306,21.57118306,2
4.92,-14.1,-0.533528081,0.805483729,0.03,-1.067056162,35.10110838,21.00110838,2
4.94,-14.1,-0.510513236,1.496000757,0.03,-1.021026472,33.95059444,19.85059444,2
4.96,-12.3,-0.47415268,2.140054885,0.03,-0.948305359,30.45481828,18.15481828,2
4.98,-6.6,-0.426044821,2.670730999,0.03,-0.852089642,22.61279318,16.01279318,2
5,-2.5,-0.368763785,3.057372615,0.03,-0.737527569,16.05136841,13.55136841,2
5.02,-3.4,-0.304584006,3.360605221,0.03,-0.609168012,14.27189216,10.87189216,2
5.04,-5.7,-0.234575338,3.640261591,0.03,-0.469150676,13.6937448,7.993744802,2
5.06,-10.3,-0.15888073,3.929199175,0.03,-0.317761461,15.20001363,4.900013631,2
5.08,-8.8,-0.077737976,4.185076299,0.03,-0.155475951,10.38769878,1.587698781,2
5.1,-4.3,0.007245941,4.313315333,0.03,0.014491881,2.436204645,-1.863795355,2
5.12,0.6,0.093165457,4.278636311,0.03,0.186330914,-5.904106906,-5.304106906,2
5.14,5.1,0.176778578,4.082675773,0.03,0.353557156,-13.69194689,-8.59194689,2
5.16,3.8,0.255520232,3.791489634,0.03,0.511040464,-15.42666704,-11.62666704,2
5.18,0.9,0.328278431,3.484330254,0.03,0.656556862,-15.28927089,-14.38927089,2
5.2,-0.7,0.394816081,3.169434788,0.03,0.789632162,-16.20027575,-16.90027575,2
5.22,-0.2,0.454690219,2.817979037,0.03,0.909380439,-18.9452993,-19.1452993,2
5.24,2.1,0.506838118,2.396810842,0.03,1.013676237,-23.17152022,-21.07152022,2
5.26,3,0.549895923,1.908969665,0.03,1.099791847,-25.61259745,-22.61259745,2
5.28,4.1,0.582731558,1.374593845,0.03,1.165463117,-27.82498456,-23.72498456,2
5.3,8.2,0.604183894,0.770639659,0.03,1.208367787,-32.57043402,-24.37043402,2
5.32,10.1,0.612881034,0.099074341,0.03,1.225762067,-34.58609781,-24.48609781,2
5.34,5.4,0.608458079,-0.541369757,0.03,1.216916159,-29.45831198,-24.05831198,2
5.36,1.8,0.5921874,-1.085698173,0.03,1.1843748,-24.97452961,-23.17452961,2
5.38,0.8,0.565703605,-1.562681314,0.03,1.13140721,-22.72378446,-21.92378446,2
5.4,0.9,0.530053943,-2.002284897,0.03,1.060107886,-21.23657385,-20.33657385,2
5.42,0.9,0.485951612,-2.407948205,0.03,0.971903224,-19.32975694,-18.42975694,2
5.44,-1.6,0.434395525,-2.7476605,0.03,0.86879105,-14.64147257,-16.24147257,2
5.46,-3.5,0.376943638,-2.99752817,0.03,0.753887277,-10.3452945,-13.8452945,2
5.48,-5,0.31532669,-3.164166685,0.03,0.63065338,-6.318556995,-11.318557,2
5.5,-6.9,0.251228974,-3.245604849,0.03,0.502457949,-1.825259353,-8.725259353,2
5.52,-6.4,0.186161771,-3.26111552,0.03,0.372323542,0.274192203,-6.125807797,2
5.54,-1.7,0.120782989,-3.276762696,0.03,0.241565977,-1.838909807,-3.538909807,2
5.56,-1.6,0.055129731,-3.288563034,0.03,0.110259463,0.658876033,-0.941123967,2
5.58,-0.7,-0.010340842,-3.258494281,0.03,-0.020681684,2.347999233,1.647999233,2
5.6,-3,-0.074558739,-3.163295442,0.03,-0.149117478,7.171884739,4.171884739,2
5.62,-9.4,-0.135513221,-2.93215277,0.03,-0.271026442,15.94238237,6.542382365,2
5.64,-11.5,-0.190549241,-2.571449164,0.03,-0.381098481,20.1279783,8.627978303,2
5.66,-8.9,-0.238038745,-2.177501316,0.03,-0.476077491,19.26680644,10.36680644,2
5.68,2.5,-0.278729621,-1.891586228,0.03,-0.557459242,9.32470241,11.82470241,2
5.7,12.6,-0.315571737,-1.792625369,0.03,-0.631143473,0.571383474,13.17138347,2
5.72,16.3,-0.351541694,-1.804370399,0.03,-0.703083389,-1.745886482,14.55411352,2
5.74,12.8,-0.387485935,-1.790053629,0.03,-0.774971869,3.177563465,15.97756347,2
5.76,2.7,-0.421507722,-1.612125066,0.03,-0.843015443,14.61529289,17.31529289,2
5.78,-7.7,-0.449682642,-1.20536697,0.03,-0.899365284,26.06051667,18.36051667,2
5.8,-15.1,-0.46778176,-0.604544835,0.03,-0.93556352,34.02169681,18.92169681,2
5.82,-10.4,-0.473538242,0.028896615,0.03,-0.947076485,29.32244822,18.92244822,2
5.84,-2.5,-0.467931834,0.531744238,0.03,-0.935863668,20.96231406,18.46231406,2
5.86,3.2,-0.453749433,0.886495842,0.03,-0.907498866,14.51284635,17.71284635,2
5.88,6.4,-0.433530143,1.135433132,0.03,-0.867060286,10.38088272,16.78088272,2
5.9,3,-0.408513451,1.366236125,0.03,-0.817026901,12.69941654,15.69941654,2
5.92,-1.2,-0.3783566,1.649448902,0.03,-0.756713201,15.62186117,14.42186117,2
