t,ytt,xt,xtt,x,xtt+ytt,f
3.3,-2.8,3.027384738,-9.859702782,0.291764623,-12.65970278,0.583529246
3.32,-2.8,2.807980716,-12.08069936,0.350118277,-14.88069936,0.700236555
3.34,-2.8,2.546216037,-14.09576855,0.403660245,-16.89576855,0.80732049
3.36,-2,2.23857088,-16.66874722,0.451508114,-18.66874722,0.903016228
3.38,-1.6,1.88624009,-18.56433174,0.492756224,-20.16433174,0.985512448
3.4,-3.2,1.518895376,-18.17013965,0.526807578,-21.37013965,1.053615157
3.42,-3.2,1.146374887,-19.08190926,0.553460281,-22.28190926,1.106920562
3.44,-2.6,0.752723394,-20.28324009,0.572451264,-22.88324009,1.144902528
3.46,-1.2,0.330374907,-21.95160853,0.583282247,-23.15160853,1.166564494
3.48,-0.2,-0.117806843,-22.8665665,0.585407928,-23.0665665,1.170815855
3.5,1.1,-0.58361303,-23.71405224,0.578393729,-22.61405224,1.156787458
3.52,4.9,-1.087397964,-26.66444109,0.561683619,-21.76444109,1.123367238
3.54,7.9,-1.637852761,-28.38103866,0.534431112,-20.48103866,1.068862223
3.56,8.4,-2.193255109,-27.15919615,0.496120033,-18.75919615,0.992240066
3.58,6.4,-2.69524753,-23.04004597,0.447235007,-16.64004597,0.894470013
3.6,4.1,-3.108577649,-18.29296585,0.389196755,-14.19296585,0.77839351
3.62,2.9,-3.435370514,-14.38632066,0.323757273,-11.48632066,0.647514546
3.64,3.8,-3.702907544,-12.36738235,0.252374493,-8.567382354,0.504748985
3.66,5.9,-3.940186941,-11.36055737,0.175943548,-5.46055737,0.351887095
3.68,9.2,-4.167533019,-11.37405037,0.094866348,-2.174050374,0.189732696
3.7,12.1,-4.389396219,-10.81226966,0.009297056,1.287730341,0.018594111
3.72,12.6,-4.574555316,-7.703640103,-0.08034246,4.896359897,-0.160684919
3.74,10.6,-4.671758686,-2.016696841,-0.1728056,8.583303159,-0.345611199
3.76,5.4,-4.623577743,6.834791104,-0.265758964,12.2347911,-0.531517928
3.78,0.5,-4.403077382,15.21524503,-0.356025515,15.71524503,-0.71205103
3.8,-1,-4.051718874,19.92060577,-0.440573478,18.92060577,-0.881146955
3.82,-2.7,-3.607742171,24.47706451,-0.517168088,21.77706451,-1.034336176
3.84,-2.3,-3.09765204,26.53194859,-0.58422203,24.23194859,-1.168444061
3.86,-0.1,-2.568637789,26.36947648,-0.640884929,26.26947648,-1.281769857
3.88,2.5,-2.050962399,25.39806251,-0.68708093,27.89806251,-1.374161861
3.9,4.5,-1.550668544,24.63132307,-0.72309724,29.13132307,-1.44619448
3.92,5,-1.054626821,24.97284913,-0.749150194,29.97284913,-1.498300387
3.94,4.5,-0.54577007,25.91282603,-0.765154162,30.41282603,-1.530308325
3.96,4.6,-0.028198809,25.84430009,-0.770893851,30.44430009,-1.541787703
3.98,4.9,0.481972466,25.17282739,-0.766356115,30.07282739,-1.532712229
4,3.7,0.989704958,25.60042179,-0.75163934,29.30042179,-1.503278681
4.02,0.9,1.517823111,27.21139353,-0.72656406,28.11139353,-1.453128119
4.04,-0.8,2.062860269,27.29232223,-0.690757226,26.49232223,-1.381514452
4.06,-1.7,2.597294391,26.15108999,-0.644155679,24.45108999,-1.288311359
4.08,-3.1,3.109852976,25.10476849,-0.587084206,22.00476849,-1.174168411
4.1,-3.8,3.590683003,22.97823426,-0.520078846,19.17823426,-1.040157692
4.12,-1.4,3.994778086,17.431274,-0.444224235,16.031274,-0.88844847
4.14,1.6,4.279663388,11.05725621,-0.36147982,12.65725621,-0.722959641
4.16,2.6,4.455659351,6.542340107,-0.274126593,9.142340107,-0.548253186
4.18,0,4.576393878,5.531112571,-0.183806061,5.531112571,-0.367612121
4.2,-1.5,4.665197011,3.349200734,-0.091390152,1.849200734,-0.182780303
4.22,-1.4,4.694122864,-0.456615441,0.002203047,-1.856615441,0.004406094
4.24,-2.9,4.663166163,-2.639054679,0.095775937,-5.539054679,0.191551875
4.26,-5,4.595091568,-4.168404811,0.188358515,-9.168404811,0.376717029
4.28,-4.1,4.467427364,-8.598015609,0.278983704,-12.69801561,0.557967408
4.3,-1.9,4.239949279,-14.1497929,0.36605747,-16.0497929,0.732114941
4.32,-0.4,3.911014758,-18.74365913,0.447567111,-19.14365913,0.895134222
4.34,2.4,3.480583404,-24.29947633,0.521483092,-21.89947633,1.042966185
4.36,7.4,2.921427718,-31.61609228,0.585503204,-24.21609228,1.171006407
4.38,12.5,2.220449182,-38.48176124,0.636921973,-25.98176124,1.273843945
4.4,14,1.424425508,-41.12060623,0.67337072,-27.12060623,1.346741439
4.42,13.5,0.602112975,-41.11064704,0.693636104,-27.61064704,1.387272209
4.44,11.7,-0.200658468,-39.16649722,0.697650649,-27.46649722,1.395301299
4.46,8.9,-0.948631406,-35.63079661,0.686157751,-26.73079661,1.372315501
4.48,6.1,-1.620571378,-31.5632006,0.660465723,-25.4632006,1.320931446
4.5,6.7,-2.240257289,-30.40539046,0.621857436,-23.70539046,1.243714872
4.52,8,-2.839055359,-29.47441664,0.57106431,-21.47441664,1.142128619
4.54,6.9,-3.390868651,-25.70691251,0.50876507,-18.80691251,1.017530139
4.56,6,-3.865570048,-21.76322713,0.436200683,-15.76322713,0.872401365
4.58,4.2,-4.249351343,-16.61490244,0.355051469,-12.41490244,0.710102937
4.6,-2,-4.484284701,-6.878433338,0.267715108,-8.878433338,0.535430217
4.62,-5.4,-4.551924845,0.114418936,0.177353013,-5.285581064,0.354706026
4.64,-7.6,-4.49215718,5.862347527,0.086912193,-1.737652473,0.173824385
4.66,-9.9,-4.317787322,11.57463832,-0.001187252,1.674638321,-0.002374505
4.68,-12.5,-4.028435817,17.3605122,-0.084649484,4.860512198,-0.169298968
4.7,-12.8,-3.649344055,20.54866397,-0.161427283,7.748663971,-0.322854565
4.72,-9.8,-3.242695126,20.11622895,-0.230347674,10.31622895,-0.460695349
4.74,-8,-2.835906745,20.56260917,-0.291133693,12.56260917,-0.582267386
4.76,-6.4,-2.421461723,20.88189296,-0.343707378,14.48189296,-0.687414756
4.78,-1,-2.041636169,17.10066252,-0.388338357,16.10066252,-0.776676713
4.8,3.2,-1.727923959,14.27055849,-0.426033958,17.47055849,-0.852067916
4.82,4.7,-1.446045119,13.91732544,-0.457773649,18.61732544,-0.915547297
4.84,4.7,-1.158500296,14.83715691,-0.483819103,19.53715691,-0.967638206
4.86,4.2,-0.849991004,16.01377223,-0.503904016,20.21377223,-1.007808032
4.88,1,-0.493753652,19.60996304,-0.517341462,20.60996304,-1.034682925
4.9,-7.5,-0.016340426,28.13135956,-0.522442403,20.63135956,-1.044884806
4.92,-14.1,0.607600364,34.26271936,-0.516529804,20.16271936,-1.033059608
4.94,-14.1,1.282845952,33.26183948,-0.497625341,19.16183948,-0.995250681
4.96,-12.3,1.915074413,29.96100661,-0.465646137,17.66100661,-0.931292274
4.98,-6.6,2.438136857,22.34523779,-0.422114024,15.74523779,-0.844228049
5,-2.5,2.82182961,16.0240375,-0.36951436,13.5240375,-0.739028719
5.02,-3.4,3.126677347,14.46073619,-0.31002929,11.06073619,-0.62005858
5.04,-5.7,3.412002745,14.07180362,-0.244642489,8.37180362,-0.489284978
5.06,-10.3,3.710197331,15.74765502,-0.173420488,5.447655021,-0.346840977
5.08,-8.8,3.97878301,11.11091284,-0.096530685,2.310912837,-0.19306137
5.1,-4.3,4.123469401,3.35772631,-0.015508161,-0.94227369,-0.031016322
5.12,0.6,4.109176626,-4.787003819,0.066818299,-4.187003819,0.133636599
5.14,5.1,3.937318153,-12.39884351,0.147283247,-7.298843513,0.294566494
5.16,3.8,3.67329116,-14.00385581,0.22338934,-10.20385581,0.446778681
5.18,0.9,3.395355935,-13.78966672,0.294075811,-12.88966672,0.588151623
5.2,-0.7,3.110948927,-14.651034,0.35913886,-15.351034,0.71827772
5.22,-0.2,2.790835734,-17.36028537,0.418156706,-17.56028537,0.836313413
5.24,2.1,2.401598507,-21.56343726,0.470081049,-19.46343726,0.940162098
5.26,3,1.945884588,-24.0079547,0.51355588,-21.0079547,1.02711176
5.28,4.1,1.443240686,-26.25643544,0.547447133,-22.15643544,1.094894265
5.3,8.2,0.870139658,-31.05366739,0.570580936,-22.85366739,1.141161872
5.32,10.1,0.228150675,-33.14523089,0.581563839,-23.04523089,1.163127679
5.34,5.4,-0.384824557,-28.15229231,0.579997101,-22.75229231,1.159994201
5.36,1.8,-0.904818763,-23.84712833,0.567100667,-22.04712833,1.134201335
5.38,0.8,-1.361095734,-21.78056878,0.544441522,-20.98056878,1.088883045
5.4,0.9,-1.783698783,-20.47973607,0.512993577,-19.57973607,1.025987154
5.42,0.9,-2.176180903,-18.76847596,0.47339478,-17.86847596,0.946789561
5.44,-1.6,-2.506816225,-14.29505622,0.426564809,-15.89505622,0.853129618
5.46,-3.5,-2.752031808,-10.22650213,0.373976329,-13.72650213,0.747952658
5.48,-5,-2.918547551,-6.425072175,0.317270535,-11.42507218,0.63454107
5.5,-6.9,-3.00434292,-2.154464649,0.25804163,-9.054464649,0.516083261
5.52,-6.4,-3.028524246,-0.26366801,0.197712959,-6.66366801,0.395425918
5.54,-1.7,-3.05666813,-2.550720358,0.136861035,-4.250720358,0.27372207
5.56,-1.6,-3.08433453,-0.215919696,0.075451008,-1.815919696,0.150902017
5.58,-0.7,-3.073384505,1.310922277,0.013873818,0.610922277,0.027747636
5.6,-3,-3.000462382,5.981289924,-0.046864651,2.981289924,-0.093729302
5.62,-9.4,-2.794733646,14.59158371,-0.104816611,5.191583707,-0.209633222
