t,ytt,xt,x,xtt,xtt+ytt,f,h,K,
3.1,-5.2,1.8491214699187626,-0.14261550928955577,10.233655505995172,5.0336555059951715,-0.28523101857911154,0.03,2,
3.12,-8.2,2.063478972032645,-0.10348950487004169,11.202094705393055,3.0020947053930556,-0.20697900974008338,0.03,2,
3.14,-9.7,2.278508443929355,-0.060069630710421686,10.300852484277968,0.6008524842779686,-0.12013926142084337,0.03,2,
3.16,-8.8,2.4474819591863106,-0.012809726679265028,6.596499041417599,-2.203500958582402,-0.025619453358530053,0.03,2,
3.18,-6.3,2.5304965668191066,0.036970058580789146,1.7049617218620052,-4.595038278137995,0.07394011716157829,0.03,2,
3.2,-3.4,2.5153879851676626,0.08742890410065685,-3.2158198870064028,-6.615819887006403,0.1748578082013137,0.03,2,
3.22,-3.3,2.4425312182859535,0.137008096135193,-4.069856801164503,-7.369856801164503,0.274016192270386,0.03,2,
3.24,-4.3,2.352843048365403,0.18496183880170655,-4.898960190890582,-9.198960190890581,0.3699236776034131,0.03,2,
3.26,-4.1,2.2310374965938187,0.2308006442512988,-7.281594986267843,-11.381594986267842,0.4616012885025976,0.03,2,
3.28,-3.2,2.0600570021184135,0.27371158923842115,-9.816454461272693,-13.016454461272694,0.5474231784768423,0.03,2,
3.3,-2.8,1.848569346252422,0.31279785272212945,-11.332311125326447,-14.132311125326446,0.6255957054442589,0.03,2,
3.32,-2.8,1.6110678736497959,0.34739422492115163,-12.417836134936158,-15.217836134936157,0.6947884498423033,0.03,2,
3.34,-2.8,1.3530865426360639,0.37703576908401026,-13.380296966437033,-16.180296966437034,0.7540715381680205,0.03,2,
3.36,-2,1.0673757612750607,0.4012403921231215,-15.190781169663275,-17.190781169663275,0.802480784246243,0.03,2,
3.38,-1.6,0.7580485236480083,0.4194946349723522,-15.741942593041964,-17.341942593041964,0.8389892699447044,0.03,2,
3.4,-3.2,0.46406027424249846,0.43171572295125726,-13.656882347509026,-16.856882347509025,0.8634314459025145,0.03,2,
3.42,-3.2,0.1817099422607888,0.4381734251162901,-14.57815085066194,-17.77815085066194,0.8763468502325802,0.03,2,
3.44,-2.6,-0.11213147796047684,0.4388692097592932,-14.80599117146462,-17.40599117146462,0.8777384195185864,0.03,2,
3.46,-1.2,-0.4210951741705847,0.4335369432379826,-16.090378449546165,-17.290378449546164,0.8670738864759652,0.03,2,
3.48,-0.2,-0.7422323020406774,0.42190366847586996,-16.0233343374631,-16.2233343374631,0.8438073369517399,0.03,2,
3.5,1.1,-1.0680407941687848,0.4038009375137753,-16.557514875347632,-15.457514875347632,0.8076018750275507,0.03,2,
3.52,4.9,-1.4331502190243435,0.37878902738184406,-19.953427610208237,-15.053427610208237,0.7575780547636881,0.03,2,
3.54,7.9,-1.8387106124171304,0.34607041906742936,-20.602611729070457,-12.702611729070457,0.6921408381348587,0.03,2,
3.56,8.4,-2.228745774331018,0.3053958551999479,-18.400904462318294,-10.000904462318294,0.6107917103998958,0.03,2,
3.58,6.4,-2.5476818364295086,0.25763157909234263,-13.492701747530784,-7.092701747530784,0.5152631581846853,0.03,2,
3.6,4.1,-2.7729788429160416,0.20442497229888715,-9.036998901122505,-4.9369989011225055,0.4088499445977743,0.03,2,
3.62,2.9,-2.9215284443148377,0.14747989942657835,-5.817961238757116,-2.917961238757116,0.2949597988531567,0.03,2,
3.64,3.8,-3.0293221103304435,0.08797139388012555,-4.961405362803458,-1.1614053628034577,0.1759427877602511,0.03,2,
3.66,5.9,-3.1263851879740523,0.026414320897080592,-4.744902401557408,1.155097598442592,0.05282864179416119,0.03,2,
3.68,9.2,-3.2322576390426474,-0.037172107373086405,-5.842342705302082,3.3576572946979173,-0.07434421474617281,0.03,2,
3.7,12.1,-3.347830436323702,-0.1029729881267499,-5.714937022803406,6.385062977196593,-0.2059459762534998,0.03,2,
3.72,12.6,-3.431129875367742,-0.17076259124366436,-2.615006881600617,9.984993118399382,-0.3415251824873287,0.03,2,
3.74,10.6,-3.429483005490611,-0.2393687200522479,2.7796938693137387,13.379693869313739,-0.4787374401044958,0.03,2,
3.76,5.4,-3.286213437226213,-0.30652568447941614,11.54726295712603,16.94726295712603,-0.6130513689588323,0.03,2,
3.78,0.5,-2.989325671313403,-0.36928107556481227,18.141513634154943,18.641513634154943,-0.7385621511296245,0.03,2,
3.8,-1,-2.604438176418996,-0.42521871404213624,20.34723585528576,19.34723585528576,-0.8504374280842725,0.03,2,
3.82,-2.7,-2.1601833857941037,-0.47286492966426724,24.07824320720346,21.37824320720346,-0.9457298593285345,0.03,2,
3.84,-2.3,-1.682517878021501,-0.5112919423024233,23.688307570056807,21.388307570056806,-1.0225838846048465,0.03,2,
3.86,-0.1,-1.2264752037136337,-0.5403818731197746,21.91595986072993,21.81595986072993,-1.0807637462395492,0.03,2,
3.88,2.5,-0.8104338852780937,-0.5607509640096918,19.68817198282407,22.18817198282407,-1.1215019280193836,0.03,2,
3.9,4.5,-0.43270128786664214,-0.5731823157411392,18.085087758321087,22.585087758321087,-1.1463646314822784,0.03,2,
3.92,5,-0.07232213773808566,-0.5782325499971865,17.952827254534565,22.952827254534565,-1.156465099994373,0.03,2,
3.94,4.5,0.2895720707559394,-0.5760600506670079,18.236593594867937,22.736593594867937,-1.1521201013340159,0.03,2,
3.96,4.6,0.6431047282208804,-0.5667332826772398,17.11667215162617,21.71667215162617,-1.1334665653544795,0.03,2,
3.98,4.9,0.9734745165095611,-0.5505674902299355,15.920306677241905,20.820306677241906,-1.101134980459871,0.03,2,
4,3.7,1.2977958791201047,-0.5278547862736388,16.511829583812457,20.211829583812456,-1.0557095725472776,0.03,2,
4.02,0.9,1.6453658371631559,-0.49842316911080614,18.245166220492656,19.145166220492655,-0.9968463382216123,0.03,2,
