t,ytt,x,xt,xtt,xtt_ytt,f,
45.02,-21.6,-4.303709640726592,-4.083830042114389,74.39089756217234,52.79089756217234,-5.002800816221912,
45.04,-17.4,-4.3467106871982555,-0.21547807970813693,77.89925381451306,60.49925381451306,-5.036575755826307,
45.06,-7.7,-4.313336891106332,3.543738267119223,79.36451798033974,71.66451798033974,-4.969828163642461,
45.08,8.8,-4.207453564507716,7.026278460289667,83.69574321277734,92.49574321277734,-4.764354474914305,
45.1,18.7,-4.036484054915887,10.044373267245007,92.50891725932532,111.20891725932532,-4.432576687755735,
45.12,23.5,-3.8088549823729636,12.685250973937903,92.6939396778778,116.1939396778778,-3.9908472228847796,
45.14,15,-3.531492106465658,15.011602633430181,85.99246949962374,100.99246949962374,-3.4526059807582916,
45.16,-0.2,-3.2083871553873675,17.253543625423493,64.27065944481697,64.07065944481697,-2.825599177354229,
45.18,-13.8,-2.8402424749879307,19.509629235852525,34.1182585843183,20.318258584318297,-2.111189761846605,
45.2,-18,-2.427450016550064,21.712511368433972,3.8756703469145,-14.1243296530855,-1.310138341957603,
45.22,-15.9,-1.973291057302136,23.641179044676868,-18.44809592366549,-34.34809592366549,-0.42881245597215556,
45.24,-7.9,-1.484795450701485,25.14219408332173,-29.418307283973665,-37.31830728397367,0.20466491120214922,
45.26,6.4,-0.9719072460648568,26.07793878204459,-29.516316450074036,-23.116316450074038,0.5970434408171907,
45.28,16.2,-0.44730676495323807,26.312761320503846,-23.226953944693328,-7.026953944693329,0.9983822970300286,
45.3,22.8,0.07588143137884855,25.937663054105638,-21.18632947845424,1.6136705215457603,1.3986407029221515,
45.32,25,0.5861854210214272,25.02671031858594,-21.949125293545585,3.0508747064544153,1.7890422120668301,
45.34,34,1.0739344732597698,23.68567894002164,-26.60917802732674,7.390821972673258,2.1621883562133926,
45.36,44,1.5294044979001973,21.803736509147022,-23.77785914259543,20.22214085740457,2.510639845127541,
45.38,47.2,1.9419009536645924,19.394641418800173,-19.098854724875018,28.101145275124985,2.826214957444504,
45.4,45.4,2.3026408706699337,16.63533562662537,-20.306236689803193,25.093763310196806,3.1021943949289184,
45.42,39.4,2.606067996845101,13.671163952738276,-25.57089251422635,13.829107485773648,3.334327418339508,
45.44,30.9,2.8493987434229986,10.633700258035853,-34.100388766442165,-3.200388766442167,3.5204844788630774,
45.46,19.2,3.032147402158492,7.620898535715034,-44.224318440941104,-25.024318440941105,3.660293991648728,
45.48,8.6,3.1559181305690935,4.743500203785106,-56.708654817202586,-48.108654817202584,3.754983196789528,
45.5,-0.3,3.2236464506104205,2.0238361998421053,-67.3061464467679,-67.6061464467679,3.806797877631995,
45.52,-5.2,3.2385690223572894,-0.5303319223212426,-75.46859690828617,-80.66859690828618,3.818214199370686,
45.54,-6.9,3.203593045628194,-2.9596075663741086,-78.07198535082652,-84.97198535082653,3.748262245912495,
45.56,-7.3,3.120955355648676,-5.290353453133083,-75.6309096173285,-82.9309096173285,3.5829868659534596,
45.58,-7.7,2.992729851892742,-7.512524764939691,-70.13103078433988,-77.83103078433989,3.326535858441591,
45.6,-8.1,2.8214327429297037,-9.59202387228028,-62.98453928802581,-71.08453928802581,2.9839416405155146,
