t,ytt,xtt,xtt+ytt,xt,x,f,
28.54,-2.8,-73.00249487985641,-75.80249487985641,12.854521082111038,1.8056379863911365,3.611275972782273,
28.56,-22.2,-62.76168486020567,-84.96168486020566,11.496879284710417,2.049151990059351,4.098303980118702,
28.58,-31.5,-61.58038007468566,-93.08038007468565,10.253458635361504,2.26665536926007,4.53331073852014,
28.6,-21.1,-78.8979536863984,-99.9979536863984,8.848675297750663,2.457676708591192,4.915353417182384,
28.62,0.4,-105.82644605997316,-105.42644605997316,7.0014313002869475,2.616177774571568,5.232355549143136,
28.64,18,-127.06440817184578,-109.06440817184578,4.672522757968759,2.732917315154125,5.46583463030825,
28.66,28.9,-139.5488285243912,-110.6488285243912,2.0063903910063887,2.7997064466438766,5.599412893287753,
28.68,27.1,-137.22250867424614,-110.12250867424615,-0.7613229809799851,2.8121571207441405,5.624314241488281,
28.7,21.4,-128.9137597646693,-107.51375976466929,-3.4226856653691393,2.770317034280649,5.540634068561298,
28.72,21.1,-123.98113063460238,-102.88113063460239,-5.951634569361856,2.676573831933339,5.353147663866678,
28.74,28.5,-124.75375681158756,-96.25375681158756,-8.438983443823755,2.532667651801483,5.065335303602966,
28.76,39.3,-126.93579566164883,-87.63579566164883,-10.955878968556119,2.3387190276776844,4.677438055355369,
28.78,46.5,-123.5710032110833,-77.0710032110833,-13.46094695728344,2.0945507684192886,4.189101536838577,
28.8,40.8,-105.5678288145264,-64.7678288145264,-15.752335277539537,1.8024179460710588,3.6048358921421175,
28.82,27.3,-78.34335760996849,-51.043357609968496,-17.591447141784485,1.4689801218778187,2.9379602437556374,
28.84,18.8,-55.02750358443622,-36.22750358443622,-18.925155753728532,1.1038140929226885,2.207628185845377,
28.86,21.7,-42.28090302001557,-20.580903020015572,-19.89823981977305,0.7155801371876728,1.4311602743753455,
28.88,34.9,-39.14426672069238,-4.24426672069238,-20.71249151718013,0.30947282381814095,0.6189456476362819,
28.9,49.6,-36.909306598809735,12.690693401190266,-21.47302725037515,-0.11238236385741189,-0.22476472771482378,
