t,ytt,xtt,xt,x,f
3.9,4.5,24.63132307,-1.550668544,-0.72309724,-1.44619448
3.92,5,24.97284913,-1.054626821,-0.749150194,-1.498300387
3.94,4.5,25.91282603,-0.54577007,-0.765154162,-1.530308325
3.96,4.6,25.84430009,-0.028198809,-0.770893851,-1.541787703
3.98,4.9,25.17282739,0.481972466,-0.766356115,-1.532712229
4,3.7,25.60042179,0.989704958,-0.75163934,-1.503278681
4.02,0.9,27.21139353,1.517823111,-0.72656406,-1.453128119
4.04,-0.8,27.29232223,2.062860269,-0.690757226,-1.381514452
4.06,-1.7,26.15108999,2.597294391,-0.644155679,-1.288311359
4.08,-3.1,25.10476849,3.109852976,-0.587084206,-1.174168411
4.1,-3.8,22.97823426,3.590683003,-0.520078846,-1.040157692
4.12,-1.4,17.431274,3.994778086,-0.444224235,-0.88844847
4.14,1.6,11.05725621,4.279663388,-0.36147982,-0.722959641
4.16,2.6,6.542340107,4.455659351,-0.274126593,-0.548253186
4.18,0,5.531112571,4.576393878,-0.183806061,-0.367612121
4.2,-1.5,3.349200734,4.665197011,-0.091390152,-0.182780303
4.22,-1.4,-0.456615441,4.694122864,0.002203047,0.004406094
4.24,-2.9,-2.639054679,4.663166163,0.095775937,0.191551875
4.26,-5,-4.168404811,4.595091568,0.188358515,0.376717029
4.28,-4.1,-8.598015609,4.467427364,0.278983704,0.557967408
4.3,-1.9,-14.1497929,4.239949279,0.36605747,0.732114941
4.32,-0.4,-18.74365913,3.911014758,0.447567111,0.895134222
4.34,2.4,-24.29947633,3.480583404,0.521483092,1.042966185
4.36,7.4,-31.61609228,2.921427718,0.585503204,1.171006407
4.38,12.5,-38.48176124,2.220449182,0.636921973,1.273843945
4.4,14,-41.12060623,1.424425508,0.67337072,1.346741439
4.42,13.5,-41.11064704,0.602112975,0.693636104,1.387272209
4.44,11.7,-39.16649722,-0.200658468,0.697650649,1.395301299
4.46,8.9,-35.63079661,-0.948631406,0.686157751,1.372315501
4.48,6.1,-31.5632006,-1.620571378,0.660465723,1.320931446
4.5,6.7,-30.40539046,-2.240257289,0.621857436,1.243714872
4.52,8,-29.47441664,-2.839055359,0.57106431,1.142128619
4.54,6.9,-25.70691251,-3.390868651,0.50876507,1.017530139
4.56,6,-21.76322713,-3.865570048,0.436200683,0.872401365
4.58,4.2,-16.61490244,-4.249351343,0.355051469,0.710102937
4.6,-2,-6.878433338,-4.484284701,0.267715108,0.535430217
4.62,-5.4,0.114418936,-4.551924845,0.177353013,0.354706026
4.64,-7.6,5.862347527,-4.49215718,0.086912193,0.173824385
4.66,-9.9,11.57463832,-4.317787322,-0.001187252,-0.002374505
4.68,-12.5,17.3605122,-4.028435817,-0.084649484,-0.169298968
4.7,-12.8,20.54866397,-3.649344055,-0.161427283,-0.322854565
4.72,-9.8,20.11622895,-3.242695126,-0.230347674,-0.460695349
4.74,-8,20.56260917,-2.835906745,-0.291133693,-0.582267386
4.76,-6.4,20.88189296,-2.421461723,-0.343707378,-0.687414756
4.78,-1,17.10066252,-2.041636169,-0.388338357,-0.776676713
4.8,3.2,14.27055849,-1.727923959,-0.426033958,-0.852067916
4.82,4.7,13.91732544,-1.446045119,-0.457773649,-0.915547297
4.84,4.7,14.83715691,-1.158500296,-0.483819103,-0.967638206
4.86,4.2,16.01377223,-0.849991004,-0.503904016,-1.007808032
4.88,1,19.60996304,-0.493753652,-0.517341462,-1.034682925
4.9,-7.5,28.13135956,-0.016340426,-0.522442403,-1.044884806
4.92,-14.1,34.26271936,0.607600364,-0.516529804,-1.033059608
4.94,-14.1,33.26183948,1.282845952,-0.497625341,-0.995250681
4.96,-12.3,29.96100661,1.915074413,-0.465646137,-0.931292274
4.98,-6.6,22.34523779,2.438136857,-0.422114024,-0.844228049
5,-2.5,16.0240375,2.82182961,-0.36951436,-0.739028719
5.02,-3.4,14.46073619,3.126677347,-0.31002929,-0.62005858
5.04,-5.7,14.07180362,3.412002745,-0.244642489,-0.489284978
5.06,-10.3,15.74765502,3.710197331,-0.173420488,-0.346840977
5.08,-8.8,11.11091284,3.97878301,-0.096530685,-0.19306137
5.1,-4.3,3.35772631,4.123469401,-0.015508161,-0.031016322
5.12,0.6,-4.787003819,4.109176626,0.066818299,0.133636599
5.14,5.1,-12.39884351,3.937318153,0.147283247,0.294566494
5.16,3.8,-14.00385581,3.67329116,0.22338934,0.446778681
5.18,0.9,-13.78966672,3.395355935,0.294075811,0.588151623
5.2,-0.7,-14.651034,3.110948927,0.35913886,0.71827772
5.22,-0.2,-17.36028537,2.790835734,0.418156706,0.836313413
5.24,2.1,-21.56343726,2.401598507,0.470081049,0.940162098
5.26,3,-24.0079547,1.945884588,0.51355588,1.02711176
5.28,4.1,-26.25643544,1.443240686,0.547447133,1.094894265
5.3,8.2,-31.05366739,0.870139658,0.570580936,1.141161872
5.32,10.1,-33.14523089,0.228150675,0.581563839,1.163127679
