t,ytt,x,xt,xtt,f
22.7,51.4,1.465002728,9.900591082,-12.24990957,1.885459293
22.72,67.8,1.639987413,7.577764893,8.028172545,2.052517798
22.74,76.1,1.764168169,4.827422824,23.12482916,2.17107361
22.76,80.3,1.831062642,1.856953954,31.28403697,2.234938002
22.78,79.4,1.83756384,-1.203841526,36.51541399,2.24114472
22.8,73.7,1.783367887,-4.204846875,38.88633683,2.132752813
22.82,65,1.671096703,-7.003974047,38.67387161,1.908210444
22.84,49.9,1.50581659,-9.499144362,37.43952597,1.577650219
22.86,27.6,1.295259952,-11.52625532,31.41617167,1.156536943
22.88,6.3,1.050518872,-12.91389297,19.30128932,0.667054783
22.9,-13,0.784370855,-13.66493151,8.791526707,0.13475875
22.92,-22,0.509236555,-13.81209774,0.40887386,-0.41550985
22.94,-21.6,0.23513491,-13.56230109,-3.517013681,-0.677338155
22.96,-11.9,-0.03192642,-13.10924845,1.747725435,-0.932441385
22.98,1.1,-0.289816523,-12.64639787,16.13584407,-1.178784045
23,7,-0.539070305,-12.24667381,33.68491997,-1.416877089
23.02,7,-0.779595594,-11.77478832,43.94221283,-1.646632474
23.04,6.5,-1.008851533,-11.12145022,48.01861208,-1.86562311
23.06,7.4,-1.223221245,-10.2883511,51.24655793,-2.070394075
23.08,13.4,-1.419528467,-9.317751638,55.48209273,-2.257911326
23.1,19.7,-1.596198913,-8.327283231,64.43987874,-2.426671069
23.12,26.6,-1.753051963,-7.338618384,73.32468067,-2.576500772
23.14,31.6,-1.890398875,-6.379200189,82.45271319,-2.707697756
23.16,29.8,-2.008595726,-5.426125113,89.32205584,-2.820602154
23.18,20.7,-2.106564391,-4.359187286,88.96706362,-2.914184115
23.2,5.5,-2.180746826,-3.05093649,80.77260076,-2.985044912
23.22,-10.5,-2.225319316,-1.402518059,65.79159174,-3.027621598
23.24,-24.4,-2.233595426,0.573511978,49.20269495,-3.035527132
23.26,-29.4,-2.199768615,2.801914767,33.12717792,-2.967873509
23.28,-30.5,-2.120927995,5.068919235,24.16003444,-2.810192269
23.3,-27.1,-1.997437535,7.261115526,17.35838797,-2.56321135
23.32,-26.2,-1.83203161,9.255197556,13.47667258,-2.2323995
23.34,-30.4,-1.628478821,11.07100483,5.656187355,-1.825293922
23.36,-36.2,-1.389605856,12.78269697,-8.619432077,-1.34754799
23.38,-36.7,-1.117440764,14.39595897,-25.77226467,-0.803217807
23.4,-34,-0.815257399,15.78086007,-38.72408115,-0.198851078
23.42,-32.1,-0.488467504,16.85376536,-49.32970486,0.454728712
23.44,-27.6,-0.143305336,17.61605957,-53.92088608,0.769017048
23.46,-23.5,0.213393998,18.00643099,-55.97922,1.093810581
23.48,-18.1,0.574228452,18.02948903,-58.37340299,1.422369358
23.5,-10.5,0.931607098,17.66179637,-59.25816315,1.74778144
23.52,1.6,1.277353647,16.86834579,-57.57334583,2.062601885
23.54,11.9,1.602202201,15.57537571,-50.82460212,2.358393605
23.56,14.4,1.896749112,13.84272282,-45.16547259,2.626594082
23.58,14.8,2.154049208,11.85591664,-46.54107059,2.860879374
23.6,21.9,2.369763219,9.689813556,-49.20162401,3.057298343
23.62,35.1,2.539320299,7.246647608,-44.22812149,3.211688996
23.64,43.7,2.656362256,4.445663644,-32.07583949,3.318261863
23.66,38.9,2.715107935,1.424969486,-23.39293533,3.371752898
23.68,29.7,2.714319461,-1.500035449,-27.05910676,3.370175951
23.7,25.7,2.657243315,-4.196675794,-32.98922137,3.256023659
23.72,33.5,2.547824352,-6.727635636,-31.71538446,3.037185732
23.74,49.1,2.387415758,-9.288889058,-16.6171372,2.716368544
23.76,60.3,2.174262546,-11.99497257,8.417983761,2.29006212
23.78,60.9,1.906778099,-14.71484369,31.20321373,1.755093226
23.8,52.5,1.587227669,-17.1950188,45.35356303,1.115992366
23.82,44.9,1.22257724,-19.21948008,52.11258886,0.386691508
23.84,42.2,0.822078283,-20.77574161,60.91035074,-0.414306407
23.86,42,0.394340756,-21.94024412,66.470464,-0.810528273
23.88,40.6,-0.053133994,-22.74731543,74.75672058,-1.225033127
23.9,34.5,-0.512848629,-23.16311337,81.91927472,-1.650876032
23.92,21.3,-0.975994927,-23.090644,84.2605038,-2.079897756
23.94,3.9,-1.431428283,-22.39361953,79.12525133,-2.501774826
23.96,-10.7,-1.865961165,-21.0042184,69.14681751,-2.904291368
23.98,-15.4,-2.266556649,-19.00511336,61.11799131,-3.275371015
24,-15.4,-2.623337831,-16.62902939,62.04591051,-3.605864593
24.02,-14.5,-2.930094268,-14.00952976,66.66737044,-3.890019246
24.04,-25.5,-3.182561494,-11.20748374,71.12734322,-4.123884711
24.06,-38.4,-3.375167979,-8.031804835,62.4519165,-4.302299969
24.08,-49.7,-3.50058103,-4.497436042,50.51264666,-4.418472599
24.1,-59.3,-3.552519912,-0.694396983,38.72862811,-4.466584628
24.12,-61.5,-3.526562116,3.281760507,26.60487936,-4.414669038
24.14,-52.8,-3.421354411,7.220209775,18.76668525,-4.204253628
24.16,-34.9,-3.240441164,10.84274686,18.95885223,-3.842427133
24.18,-16.4,-2.992528741,13.91200397,25.91457938,-3.346602287
24.2,-3,-2.689258663,16.37199163,31.51456311,-2.740062132
