t,acc
20.8,75.9
20.82,67.2
20.84,45.7
20.86,31.8
20.88,23.7
20.9,18.7
20.92,15
20.94,15.2
20.96,20.4
20.98,34.7
21,51.1
21.02,62.1
21.04,65.1
21.06,60.4
21.08,47.5
21.1,30.4
21.12,16.8
21.14,5.8
21.16,-4.7
21.18,-14.5
21.2,-22.5
21.22,-31.2
21.24,-42.6
21.26,-58.4
21.28,-71.8
21.3,-83.5
21.32,-84.7
21.34,-80
21.36,-71.6
21.38,-62
21.4,-53.1
21.42,-42.2
21.44,-20.7
21.46,9.6
21.48,37.5
21.5,52.3
21.52,57.9
21.54,58
21.56,56.9
21.58,51.8
21.6,37.4
21.62,19.4
21.64,10.5
21.66,3.2
21.68,-1
21.7,-4.7
21.72,-8.7
21.74,-14.3
21.76,-21.7
21.78,-29
21.8,-32.1
21.82,-32
21.84,-32.3
21.86,-34.1
21.88,-36.3
21.9,-36.8
21.92,-37.2
21.94,-39.1
21.96,-41.7
21.98,-35.9
22,-23.1
22.02,-17.2
22.04,-17.4
22.06,-16.1
22.08,-13.7
22.1,-13.5
22.12,-20.4
22.14,-26.4
22.16,-25.2
22.18,-20.2
22.2,-14.3
22.22,-8.8
22.24,-0.3
22.26,5.2
22.28,3.6
22.3,-1.5
22.32,-10.5
22.34,-21.6
22.36,-26
22.38,-26.1
22.4,-28.2
22.42,-31.4
22.44,-33.1
22.46,-30.5
22.48,-26.6
22.5,-28.7
22.52,-38.6
22.54,-45
22.56,-44.4
22.58,-42.1
22.6,-39.9
22.62,-32
22.64,-14.5
22.66,5.4
22.68,28.7
22.7,51.4
22.72,67.8
22.74,76.1
22.76,80.3
22.78,79.4
22.8,73.7
22.82,65
22.84,49.9
22.86,27.6
22.88,6.3
22.9,-13
22.92,-22
22.94,-21.6
22.96,-11.9
22.98,1.1
23,7
23.02,7
23.04,6.5
23.06,7.4
23.08,13.4
23.1,19.7
23.12,26.6
23.14,31.6
23.16,29.8
23.18,20.7
23.2,5.5
23.22,-10.5
23.24,-24.4
23.26,-29.4
23.28,-30.5
23.3,-27.1
23.32,-26.2
23.34,-30.4
23.36,-36.2
23.38,-36.7
23.4,-34
23.42,-32.1
23.44,-27.6
23.46,-23.5
23.48,-18.1
23.5,-10.5
23.52,1.6
23.54,11.9
23.56,14.4
23.58,14.8
23.6,21.9
23.62,35.1
23.64,43.7
23.66,38.9
23.68,29.7
23.7,25.7
23.72,33.5
23.74,49.1
23.76,60.3
23.78,60.9
23.8,52.5
23.82,44.9
23.84,42.2
23.86,42
23.88,40.6
23.9,34.5
23.92,21.3
23.94,3.9
23.96,-10.7
23.98,-15.4
24,-15.4
24.02,-14.5
24.04,-25.5
24.06,-38.4
24.08,-49.7
24.1,-59.3
24.12,-61.5
24.14,-52.8
24.16,-34.9
24.18,-16.4
24.2,-3
24.22,0.6
24.24,-0.1
24.26,-0.7
24.28,5.7
24.3,23
24.32,37.5
24.34,34.6
24.36,18.7
24.38,0.7
24.4,-15.6
24.42,-24.6
24.44,-28.5
24.46,-28.4
24.48,-24.2
24.5,-23.6
24.52,-27
24.54,-29.2
24.56,-27.1
24.58,-10.9
24.6,5.6
24.62,14.8
24.64,14.1
24.66,14.2
24.68,24.5
24.7,34
24.72,37.9
24.74,32.9
24.76,19.6
24.78,5.6
24.8,1.4
24.82,4.4
24.84,13.6
24.86,22.1
24.88,24.1
24.9,22.3
24.92,18.1
24.94,15.5
24.96,15.5
24.98,17
25,6.6
25.02,-3.7
25.04,-9.4
25.06,-14.4
25.08,-18.5
25.1,-19.8
25.12,-16.8
25.14,-14.1
25.16,-16.2
25.18,-22.3
25.2,-27
25.22,-26.1
25.24,-24.8
25.26,-31.9
25.28,-41.6
25.3,-42.7
25.32,-36.9
25.34,-25.2
25.36,-20.9
25.38,-32.2
25.4,-44.3
25.42,-45.8
25.44,-35.6
25.46,-25.2
25.48,-25
25.5,-36
25.52,-48.2
25.54,-49.9
25.56,-47.6
25.58,-39.7
25.6,-25.9
25.62,-9.7
25.64,-2
25.66,3
25.68,11.2
25.7,20.3
25.72,29.5
25.74,36.6
25.76,42.7
25.78,46.3
25.8,43
25.82,40.9
25.84,40
25.86,42
25.88,46.2
25.9,57.7
25.92,68.3
25.94,72.3
25.96,54.9
25.98,41.2
26,31.3
26.02,30.5
26.04,32.5
26.06,34.3
26.08,34
26.1,31.7
26.12,30.9
26.14,33.2
26.16,34.4
26.18,30.3
26.2,23.1
26.22,19.7
26.24,24.5
26.26,36.7
26.28,52.2
26.3,53.4
26.32,37.4
26.34,16
26.36,-0.9
26.38,-7.2
26.4,-3.9
26.42,8.2
26.44,27.1
26.46,41.7
26.48,42.6
26.5,32.8
26.52,18.5
26.54,5.5
26.56,-3.1
26.58,-3.1
26.6,-0.2
26.62,-2.2
26.64,-12.2
26.66,-19.3
26.68,-20.4
26.7,-16.1
26.72,-10.1
26.74,3.4
26.76,20.1
26.78,32.4
26.8,24.2
26.82,0.6
26.84,-27.1
26.86,-45
26.88,-47.3
26.9,-34.6
26.92,-17.5
26.94,-3.9
26.96,-8.3
26.98,-23
27,-42.1
27.02,-46.5
27.04,-37
27.06,-21.4
27.08,-10.5
27.1,-13.4
27.12,-29.7
27.14,-49.4
27.16,-55.5
27.18,-55
27.2,-46.2
27.22,-31.1
27.24,-17.6
27.26,-18.7
27.28,-35.2
27.3,-50.1
27.32,-59.3
27.34,-65.4
27.36,-68.2
27.38,-67.4
27.4,-61.4
27.42,-56.4
27.44,-52.4
27.46,-50.6
27.48,-46.5
27.5,-38.5
27.52,-29.3
27.54,-20.9
27.56,-13.3
27.58,-9.9
27.6,-8
27.62,-7.5
27.64,-9.6
27.66,-4.9
27.68,9
27.7,17.5
27.72,14.1
27.74,-0.6
27.76,-10.3
27.78,-11.2
27.8,-9.8
27.82,-7.8
27.84,-3.2
27.86,2.1
27.88,-0.7
27.9,-13.9
27.92,-31.3
27.94,-32.2
27.96,-21.4
27.98,-9.9
28,-9.9
28.02,-11.7
28.04,-6.9
28.06,5.7
28.08,24.9
28.1,40.1
28.12,42.9
28.14,39.1
28.16,32.4
28.18,30
28.2,30.6
28.22,40.3
28.24,54.7
28.26,64.5
28.28,63.6
28.3,64.9
28.32,65.1
28.34,62.6
28.36,59.7
28.38,58.3
28.4,48.9
28.42,27.3
28.44,2.5
28.46,-7.5
28.48,-4.6
28.5,7.5
28.52,8
28.54,-2.8
28.56,-22.2
28.58,-31.5
28.6,-21.1
28.62,0.4
28.64,18
28.66,28.9
28.68,27.1
28.7,21.4
28.72,21.1
28.74,28.5
28.76,39.3
28.78,46.5
28.8,40.8
28.82,27.3
28.84,18.8
28.86,21.7
28.88,34.9
28.9,49.6
28.92,57.8
28.94,53.7
28.96,43.8
28.98,39.4
29,39.6
29.02,26.6
29.04,16.8
29.06,2.4
29.08,0.5
29.1,8.7
29.12,26.6
29.14,41
29.16,42.4
29.18,27.1
29.2,-4.2
29.22,-39.7
29.24,-53.5
29.26,-52.5
29.28,-42.4
29.3,-27
29.32,-8.9
29.34,4.4
29.36,-0.5
29.38,-7.3
29.4,-9.8
29.42,-8.2
29.44,-11.4
29.46,-26.7
29.48,-49.3
29.5,-65.5
29.52,-61.6
29.54,-49.6
29.56,-42.9
29.58,-42.3
29.6,-45.7
29.62,-44
29.64,-40.1
29.66,-32.4
29.68,-30.8
29.7,-40.5
29.72,-56
29.74,-59.3
29.76,-47.4
29.78,-29.6
29.8,-13.7
29.82,-6.7
29.84,-9.8
29.86,-23.6
29.88,-35.7
29.9,-35.2
29.92,-34.8
29.94,-43
29.96,-52.1
29.98,-51
30,-45.5
30.02,-40.5
30.04,-36.3
30.06,-22.2
30.08,1.6
30.1,20.1
30.12,22.6
30.14,14.6
30.16,9.5
30.18,12.1
30.2,12.2
30.22,6.1
30.24,-17.7
30.26,-37
30.28,-35.2
30.3,-24.6
30.32,-21.8
30.34,-26.7
30.36,-42.8
30.38,-53.4
30.4,-57.1
30.42,-49.6
30.44,-34.9
30.46,-16
30.48,-6.5
30.5,-15.8
30.52,-29.1
30.54,-29.5
30.56,-3.3
30.58,35
30.6,36.5
30.62,15.1
30.64,-11.5
30.66,-32.9
30.68,-21.6
30.7,3.9
30.72,23.2
30.74,33.5
30.76,37
30.78,31.2
30.8,13.8
30.82,3.9
30.84,20.1
30.86,27.7
30.88,21.1
30.9,1.9
30.92,-18.2
30.94,-13
30.96,8.9
30.98,28.7
31,51.8
31.02,74.2
31.04,83.7
31.06,79.5
31.08,72
31.1,75.3
31.12,86.6
31.14,96.9
31.16,96.9
31.18,84.2
31.2,64.2
31.22,33.1
31.24,8.5
31.26,1.8
31.28,8.2
31.3,8.2
31.32,-6.2
31.34,-33.3
31.36,-45.9
31.38,-38.6
31.4,-13.4
31.42,28.2
31.44,38.4
31.46,37.4
31.48,20.9
31.5,0.2
31.52,-17.2
31.54,-21.8
31.56,-28.4
31.58,-26.5
31.6,-9.5
31.62,-5.6
31.64,-15.1
31.66,-17.3
31.68,-7.3
31.7,12.4
31.72,20.8
31.74,18.5
31.76,22
31.78,40.6
31.8,60.1
31.82,66.9
31.84,53.9
31.86,35.2
31.88,16.5
31.9,4.9
31.92,2.6
31.94,11.6
31.96,24.4
31.98,34.1
32,39.8
32.02,42
32.04,47.9
32.06,57.7
32.08,67.4
32.1,61.3
32.12,30.8
32.14,-8.9
32.16,-43.2
32.18,-60.2
32.2,-59.8
32.22,-29
32.24,9
32.26,25.4
32.28,13.6
32.3,-1
32.32,-15.1
32.34,-19.7
32.36,-20.6
32.38,-21.9
32.4,-31.9
32.42,-42.8
32.44,-55.4
32.46,-61.4
32.48,-57.2
32.5,-45.6
32.52,-41.2
32.54,-44.7
32.56,-46.4
32.58,-49.8
32.6,-53.8
32.62,-50.3
32.64,-40.3
32.66,-30.9
32.68,-27.6
32.7,-38
32.72,-56
32.74,-61.9
32.76,-41.9
32.78,-18.1
32.8,-4.9
32.82,10.7
32.84,18.5
32.86,14.8
32.88,8.5
32.9,11.9
32.92,29.2
32.94,49.2
32.96,62.7
32.98,55.1
33,38.2
33.02,19.8
33.04,-0.8
33.06,-9
33.08,-3
33.1,16
33.12,22.4
33.14,12.5
33.16,3.9
33.18,0.6
33.2,3
33.22,13.1
33.24,28.9
33.26,37.3
33.28,36.3
33.3,17.3
33.32,-7.6
33.34,-30
33.36,-40
