t [s],v [É m/sec]
8.64,-6.671
8.65,-1.766
8.66,2.195
8.67,4.922
8.68,6.714
8.69,7.899
8.7,8.929
8.71,9.415
8.72,9.548
8.73,9.016
8.74,8.277
8.75,7.577
8.76,7.389
8.77,6.795
8.78,6.071
8.79,5.931
8.8,6.131
8.81,6.161
8.82,6.186
8.83,6.107
8.84,5.728
8.85,5.397
8.86,5.25
8.87,5.178
8.88,4.277
8.89,2.943
8.9,1.512
8.91,-0.243
8.92,-2.275
8.93,-4.048
8.94,-5.917
8.95,-7.556
8.96,-8.826
8.97,-10.648
8.98,-12.426
8.99,-13.398
9,-14.251
9.01,-15.097
9.02,-15.52
9.03,-15.679
9.04,-15.648
9.05,-15.231
9.06,-14.355
9.07,-12.264
9.08,-8.985
9.09,-4.992
9.1,-0.861
9.11,3.56
9.12,7.506
9.13,11.06
9.14,13.963
9.15,16.502
9.16,18.615
9.17,20.231
9.18,20.343
9.19,19.548
9.2,18.298
9.21,16.697
9.22,14.707
9.23,11.507
9.24,7.081
9.25,1.667
9.26,-5.007
9.27,-11.113
9.28,-16.044
9.29,-20.76
9.3,-24.488
9.31,-27.179
9.32,-28.877
9.33,-29.139
9.34,-28.008
9.35,-24.886
9.36,-20.111
9.37,-14.883
9.38,-9.489
9.39,-4.051
9.4,1.767
9.41,8.591
9.42,16.066
9.43,22.6
9.44,28.063
9.45,32.842
9.46,36.462
9.47,39.184
9.48,40.544
9.49,39.865
9.5,37.114
9.51,32.953
9.52,27.779
9.53,21.706
9.54,14.855
9.55,8.124
9.56,1.613
9.57,-4.973
9.58,-12.182
9.59,-19.73
9.6,-26.481
9.61,-31.683
9.62,-35.13
9.63,-37.463
9.64,-38.676
9.65,-38.922
9.66,-37.116
9.67,-33.609
9.68,-28.509
9.69,-22.574
9.7,-16.203
9.71,-9.198
9.72,-2.19
9.73,5.269
9.74,12.468
9.75,19.263
9.76,25.126
9.77,29.775
9.78,33.172
9.79,35.43
9.8,36.667
9.81,37.199
9.82,36.758
9.83,34.778
9.84,31.768
9.85,27.758
9.86,22.676
9.87,17.137
9.88,11.323
9.89,5.415
9.9,-0.881
9.91,-7.258
9.92,-13.377
9.93,-18.796
9.94,-23.109
9.95,-25.62
9.96,-27.444
9.97,-28.888
9.98,-30.173
9.99,-30.434
10,-29.605
10.01,-28.016
10.02,-25.718
10.03,-23.321
10.04,-19.695
10.05,-15.045
10.06,-9.668
10.07,-4.177
10.08,1.221
10.09,6.726
10.1,11.484
10.11,15.721
10.12,19.356
10.13,23.07
10.14,25.736
10.15,27.465
10.16,28.787
10.17,28.759
10.18,28.314
10.19,27.329
10.2,25.282
10.21,22.072
10.22,17.353
10.23,12.004
10.24,6.288
10.25,0.617
10.26,-4.977
10.27,-10.43
10.28,-15.569
10.29,-20.55
10.3,-25.192
10.31,-29.118
10.32,-31.455
10.33,-33.154
10.34,-33.612
10.35,-33.519
10.36,-32.506
10.37,-30.175
10.38,-26.871
10.39,-22.176
10.4,-15.901
10.41,-8.34
10.42,-0.376
10.43,7.582
10.44,14.751
10.45,21.114
10.46,26.963
10.47,32.206
10.48,36.103
10.49,37.995
10.5,38.463
10.51,37.969
10.52,36.076
10.53,33.396
10.54,29.654
10.55,24.555
10.56,17.967
10.57,10.521
10.58,2.551
10.59,-5.629
10.6,-13.473
10.61,-21.34
10.62,-28.956
10.63,-34.805
10.64,-38.759
10.65,-40.837
10.66,-41.06
10.67,-39.853
10.68,-37.176
10.69,-32.59
10.7,-26.981
10.71,-20.742
10.72,-14.02
10.73,-6.623
10.74,1.404
10.75,9.22
10.76,16.506
10.77,23.861
10.78,30.327
10.79,36.097
10.8,40.473
10.81,43.337
10.82,43.543
10.83,41.553
10.84,37.724
10.85,33.117
10.86,28.051
10.87,22.837
10.88,16.453
10.89,9.35
10.9,1.989
10.91,-5.65
10.92,-12.948
10.93,-19.584
10.94,-25.77
10.95,-31.09
10.96,-35.686
10.97,-38.771
10.98,-40.177
10.99,-40.353
11,-39.179
11.01,-36.101
11.02,-30.799
11.03,-24.374
11.04,-17.067
11.05,-8.814
11.06,0.05
11.07,8.341
11.08,16.3
11.09,23.411
11.1,30.177
11.11,36.344
11.12,41.527
11.13,45.446
11.14,47.113
11.15,47.128
11.16,45.81
11.17,42.236
11.18,36.922
11.19,29.759
11.2,21.03
11.21,11.47
11.22,1.949
11.23,-6.463
11.24,-14.773
11.25,-22.415
11.26,-29.231
11.27,-34.607
11.28,-38.404
11.29,-40.279
11.3,-40.847
11.31,-39.92
11.32,-37.899
11.33,-34.092
11.34,-28.563
11.35,-21.653
11.36,-13.201
11.37,-3.9
11.38,5.583
11.39,14.198
11.4,21.533
11.41,27.335
11.42,31.278
11.43,33.425
11.44,33.539
11.45,32.685
11.46,30.577
11.47,26.672
11.48,21.411
11.49,16.046
11.5,10.844
11.51,5.126
11.52,-1.443
11.53,-7.885
11.54,-14.061
11.55,-20.126
11.56,-25.136
11.57,-28.809
11.58,-30.777
11.59,-31.791
11.6,-30.81
11.61,-28.349
11.62,-24.897
11.63,-20.209
11.64,-14.799
11.65,-9.389
11.66,-5.128
11.67,-1.386
11.68,2.213
11.69,5.892
11.7,8.901
11.71,11.531
11.72,13.994
11.73,15.689
11.74,16.609
11.75,16.274
11.76,14.734
11.77,12.268
11.78,9.378
11.79,5.884
11.8,1.617
11.81,-2.679
11.82,-6.456
11.83,-9.551
11.84,-11.444
11.85,-12.981
11.86,-14.146
11.87,-15.158
11.88,-15.614
11.89,-16.012
11.9,-16.043
11.91,-15.816
11.92,-14.714
11.93,-13.071
11.94,-10.944
11.95,-8.535
11.96,-5.279
11.97,-1.704
11.98,1.967
11.99,5.013
12,7.318
12.01,8.466
12.02,8.975
12.03,9.484
12.04,9.664
12.05,8.836
12.06,7.066
12.07,4.6
12.08,2.451
12.09,0.946
12.1,-0.269
12.11,-0.943
12.12,-2.015
12.13,-3.644
12.14,-5.245
12.15,-6.196
12.16,-5.393
12.17,-2.948
12.18,0.153
12.19,3.445
12.2,7.169
12.21,10.615
12.22,13.687
12.23,16.229
12.24,17.433
12.25,17.343
12.26,15.651
12.27,12.943
12.28,10.13
12.29,7.276
12.3,3.478
12.31,-0.628
12.32,-4.989
12.33,-9.975
12.34,-14.849
12.35,-19.95
12.36,-23.962
12.37,-27.11
12.38,-29.988
12.39,-31.707
12.4,-31.969
12.41,-30.363
12.42,-27.588
12.43,-23.144
12.44,-17.906
12.45,-12.154
12.46,-5.79
12.47,0.581
12.48,6.416
12.49,12.348
12.5,18.497
12.51,23.895
12.52,28.851
12.53,33.231
12.54,36.095
12.55,37.279
12.56,36.965
12.57,36.109
12.58,34.053
12.59,30.48
12.6,24.847
12.61,18.273
12.62,10.688
12.63,2.674
12.64,-5.055
12.65,-12.629
12.66,-20.068
12.67,-26.609
12.68,-32.7
12.69,-37.331
12.7,-40.746
12.71,-41.951
12.72,-41.569
12.73,-39.99
12.74,-36.329
12.75,-31.495
12.76,-25.119
12.77,-17.495
12.78,-9.481
12.79,-1.68
12.8,6.336
12.81,14.33
12.82,21.92
12.83,29.018
12.84,34.684
12.85,38.816
12.86,41.202
12.87,41.846
12.88,40.719
12.89,37.868
12.9,33.813
12.91,28.356
12.92,21.765
12.93,14.687
12.94,7.182
12.95,-0.504
12.96,-8.525
12.97,-16.17
12.98,-22.709
12.99,-28.037
13,-32.264
13.01,-35.543
13.02,-38.342
13.03,-39.574
13.04,-39.196
13.05,-36.997
13.06,-33.9
13.07,-29.827
13.08,-24.376
13.09,-18.212
13.1,-11.304
13.11,-4.345
13.12,2.519
13.13,9.229
13.14,15.996
13.15,22.009
13.16,27.03
13.17,30.129
13.18,31.713
13.19,31.919
13.2,30.764
13.21,29.076
13.22,26.33
13.23,22.701
13.24,18.557
13.25,13.284
13.26,7.768
13.27,2.039
13.28,-3.055
13.29,-8.081
13.3,-12.621
13.31,-16.356
13.32,-19.291
13.33,-20.703
13.34,-20.77
13.35,-19.786
13.36,-17.842
13.37,-15.601
13.38,-13.585
13.39,-11.509
13.4,-8.696
13.41,-5.233
13.42,-2.065
13.43,1.39
13.44,5.127
13.45,8.335
13.46,10.594
13.47,12.513
13.48,13.798
13.49,14.063
13.5,13.726
13.51,12.837
13.52,11.434
13.53,9.917
13.54,8.322
13.55,6.37
13.56,4.096
13.57,1.61
13.58,-0.688
13.59,-2.688
13.6,-3.868
13.61,-4.477
13.62,-4.045
13.63,-3.405
13.64,-2.405
13.65,-1.563
13.66,-0.674
13.67,-0.204
13.68,-0.215
13.69,-0.137
13.7,0.076
13.71,0.89
13.72,1.828
13.73,2.638
13.74,3.619
13.75,3.731
13.76,2.459
13.77,0.895
13.78,-0.615
13.79,-3.362
13.8,-6.457
13.81,-9.568
13.82,-11.941
13.83,-13.363
13.84,-14.304
13.85,-14.32
13.86,-13.053
13.87,-11.454
13.88,-8.844
13.89,-6.001
13.9,-3.343
13.91,-0.345
13.92,2.923
13.93,6.626
13.94,11.02
13.95,15.179
13.96,19.256
13.97,22.956
13.98,25.77
13.99,27.584
14,28.021
14.01,27.479
14.02,25.565
14.03,22.517
14.04,19.13
14.05,14.869
14.06,9.785
14.07,4.035
14.08,-1.576
14.09,-6.857
14.1,-12.001
14.11,-17.006
14.12,-21.583
14.13,-25.689
14.14,-29.547
14.15,-32.501
14.16,-34.457
14.17,-35.116
14.18,-33.585
14.19,-30.536
14.2,-25.832
14.21,-19.619
14.22,-12.11
14.23,-3.977
14.24,3.463
14.25,10.64
14.26,17.33
14.27,23.479
14.28,28.958
14.29,33.559
14.3,37.444
14.31,39.758
14.32,41.062
14.33,40.885
14.34,38.334
14.35,34.424
14.36,28.63
14.37,21.535
14.38,14.083
14.39,5.898
14.4,-2.548
14.41,-11.035
14.42,-18.965
14.43,-25.706
14.44,-31.324
14.45,-35.861
14.46,-39.516
14.47,-42.278
14.48,-43.619
14.49,-43.08
14.5,-40.566
14.51,-35.629
14.52,-29.13
14.53,-21.225
14.54,-12.836
14.55,-3.526
14.56,6.565
14.57,16.196
14.58,25.193
14.59,33.504
14.6,40.275
14.61,45.545
14.62,49.386
14.63,51.774
14.64,52.316
14.65,51.003
14.66,47.09
14.67,41.305
14.68,34.05
14.69,25.401
14.7,15.849
14.71,5.169
14.72,-6.08
14.73,-17.118
14.74,-27.292
14.75,-36.518
14.76,-44.841
14.77,-51.114
14.78,-54.753
14.79,-55.75
14.8,-53.763
14.81,-49.53
14.82,-43.461
14.83,-36.293
14.84,-28.243
14.85,-19.978
14.86,-10.765
14.87,-0.434
14.88,10.641
14.89,21.785
14.9,32.237
14.91,41.76
14.92,49.488
14.93,55.658
14.94,59.987
14.95,61.451
14.96,60.401
14.97,57.36
14.98,52.092
14.99,44.837
15,36.59
15.01,27.755
15.02,18.777
15.03,9.13
15.04,-1.254
15.05,-11.561
15.06,-21.048
15.07,-29.523
15.08,-37.171
15.09,-43.592
15.1,-47.886
15.11,-50.17
15.12,-49.526
15.13,-46.312
15.14,-41.064
15.15,-33.911
15.16,-25.857
15.17,-17.28
15.18,-8.104
15.19,0.267
15.2,7.857
15.21,14.621
15.22,20.791
15.23,26.112
15.24,30.376
15.25,32.969
15.26,34.117
15.27,33.664
15.28,31.826
15.29,28.323
15.3,23.155
15.31,17.41
15.32,11.122
15.33,4.503
15.34,-1.636
15.35,-6.942
15.36,-10.565
15.37,-12.963
15.38,-14.333
15.39,-15.739
15.4,-16.977
15.41,-16.979
15.42,-15.892
15.43,-12.877
15.44,-8.521
15.45,-4.51
15.46,-0.855
15.47,3.132
15.48,7.705
15.49,12.38
15.5,15.943
15.51,17.946
15.52,18.445
15.53,17.31
15.54,15.292
15.55,12.167
15.56,7.848
15.57,3.222
15.58,-1.672
15.59,-7.379
15.6,-13.066
15.61,-18.368
15.62,-22.282
15.63,-25.283
15.64,-28.154
15.65,-29.985
15.66,-30.652
15.67,-31.168
15.68,-30.027
15.69,-26.834
15.7,-22.304
15.71,-16.455
15.72,-10.076
15.73,-3.714
15.74,3.101
15.75,10.198
15.76,16.661
15.77,21.749
15.78,26.054
15.79,29.064
15.8,31.01
15.81,32.158
15.82,32.106
15.83,31.507
15.84,29.628
15.85,27.202
15.86,23.513
15.87,17.772
15.88,10.872
15.89,2.818
15.9,-5.828
15.91,-14.571
15.92,-21.8
15.93,-28.512
15.94,-34.558
15.95,-38.34
15.96,-39.94
15.97,-40.56
15.98,-40.253
15.99,-39.389
16,-38.591
16.01,-37.433
16.02,-35.344
